instName, numOfJobs, numOfThreads, timeLimit, timeCost, feasible, optimal, numOfNodes, globalUB, globalLB, gap,rootUB, rootLB, timeOnRoot, timeOnCG, timeOnRMP, timeOnPP, numSolvedNodes, numPrunedByInfeasibility, numPrunedByOptimality, numPrunedByBound, numLeftNodes, numNewLabel, numDominatedLabel, numPrunedLabel, timeOnLabelLb
L_00000000 , 10 , 1 , 3600, 0.082,true, true, 3,229.000, 229.000, 0.000, 229.000, 208.000, 0.038, 0.046, 0.004, 0.022, 3, 1, 0, 1, 0,391,258,0,0.010000000000000002
L_00000001 , 10 , 1 , 3600, 0.011,true, true, 3,340.000, 340.000, 0.000, 340.000, 332.000, 0.007, 0.008, 0.003, 0.005, 3, 1, 0, 1, 0,241,153,17,0.004
L_00000002 , 10 , 1 , 3600, 0.013,true, true, 3,254.000, 254.000, 0.000, 256.000, 238.000, 0.006, 0.007, 0.000, 0.002, 3, 1, 1, 0, 0,146,76,0,0.001
L_00000003 , 10 , 1 , 3600, 0.014,true, true, 3,338.000, 338.000, 0.000, 338.000, 330.000, 0.011, 0.012, 0.001, 0.005, 3, 1, 0, 1, 0,370,206,81,0.002
L_00000004 , 10 , 1 , 3600, 0.004,true, true, 1,189.000, 189.000, 0.000, 189.000, 189.000, 0.004, 0.004, 0.000, 0.001, 1, 0, 1, 0, 0,10,0,0,0.001
L_00000005 , 10 , 1 , 3600, 0.016,true, true, 3,307.000, 307.000, 0.000, 310.000, 296.000, 0.014, 0.015, 0.006, 0.007, 3, 1, 1, 0, 0,237,143,11,0.001
L_00000006 , 10 , 1 , 3600, 0.017,true, true, 3,351.000, 351.000, 0.000, 351.000, 345.000, 0.011, 0.012, 0.000, 0.007, 3, 1, 0, 1, 0,244,120,0,0.001
L_00000007 , 10 , 1 , 3600, 0.035,true, true, 3,268.000, 268.000, 0.000, 271.000, 253.000, 0.018, 0.019, 0.004, 0.008, 3, 1, 1, 0, 0,216,103,0,0.004
L_00000008 , 10 , 1 , 3600, 0.026,true, true, 3,247.000, 247.000, 0.000, 249.000, 230.000, 0.017, 0.018, 0.003, 0.008, 3, 1, 1, 0, 0,267,152,0,0.001
L_00000009 , 10 , 1 , 3600, 0.028,true, true, 3,357.000, 357.000, 0.000, 357.000, 351.000, 0.016, 0.021, 0.001, 0.010, 3, 1, 0, 1, 0,983,565,113,0.002
L_00000010 , 10 , 1 , 3600, 0.024,true, true, 3,251.000, 251.000, 0.000, 252.000, 235.000, 0.018, 0.018, 0.004, 0.004, 3, 1, 1, 0, 0,264,146,0,0.001
L_00000011 , 10 , 1 , 3600, 0.024,true, true, 3,300.000, 300.000, 0.000, 300.000, 288.000, 0.012, 0.015, 0.000, 0.007, 3, 1, 0, 1, 0,848,551,8,0.001
L_00000012 , 10 , 1 , 3600, 0.019,true, true, 3,238.000, 238.000, 0.000, 238.000, 219.000, 0.011, 0.012, 0.006, 0.003, 3, 1, 0, 1, 0,472,317,0,0.001
L_00000013 , 10 , 1 , 3600, 0.021,true, true, 3,236.000, 236.000, 0.000, 236.000, 215.000, 0.012, 0.013, 0.004, 0.004, 3, 1, 0, 1, 0,647,435,0,0.0
L_00000014 , 10 , 1 , 3600, 0.017,true, true, 3,240.000, 240.000, 0.000, 241.000, 222.000, 0.012, 0.013, 0.003, 0.003, 3, 1, 1, 0, 0,269,134,0,0.0
L_00000015 , 10 , 1 , 3600, 0.017,true, true, 3,226.000, 226.000, 0.000, 226.000, 204.000, 0.009, 0.010, 0.003, 0.002, 3, 1, 0, 1, 0,385,248,0,0.0
L_00000016 , 10 , 1 , 3600, 0.013,true, true, 3,279.000, 279.000, 0.000, 279.000, 265.000, 0.008, 0.008, 0.001, 0.001, 3, 1, 0, 1, 0,173,101,0,0.0
L_00000017 , 10 , 1 , 3600, 0.026,true, true, 3,367.000, 367.000, 0.000, 367.000, 362.000, 0.019, 0.020, 0.002, 0.008, 3, 1, 0, 1, 0,642,321,211,0.0
L_00000018 , 10 , 1 , 3600, 0.020,true, true, 3,285.000, 285.000, 0.000, 285.000, 272.000, 0.010, 0.013, 0.002, 0.004, 3, 1, 0, 1, 0,597,372,36,0.0
L_00000019 , 10 , 1 , 3600, 0.021,true, true, 3,264.000, 264.000, 0.000, 268.000, 249.000, 0.013, 0.013, 0.000, 0.004, 3, 1, 1, 0, 0,193,106,0,0.0
L_00000020 , 10 , 1 , 3600, 0.003,true, true, 1,196.000, 196.000, 0.000, 196.000, 196.000, 0.001, 0.001, 0.001, 0.000, 1, 0, 1, 0, 0,10,0,0,0.0
L_00000021 , 10 , 1 , 3600, 0.019,true, true, 3,322.000, 322.000, 0.000, 322.000, 313.000, 0.011, 0.012, 0.001, 0.003, 3, 1, 0, 1, 0,419,252,3,0.0
L_00000022 , 10 , 1 , 3600, 0.019,true, true, 3,257.000, 257.000, 0.000, 258.000, 241.000, 0.010, 0.010, 0.003, 0.001, 3, 1, 1, 0, 0,172,87,0,0.0
L_00000023 , 10 , 1 , 3600, 0.021,true, true, 3,336.000, 336.000, 0.000, 336.000, 328.000, 0.011, 0.012, 0.001, 0.004, 3, 1, 0, 1, 0,436,197,138,0.0
L_00000024 , 10 , 1 , 3600, 0.019,true, true, 3,263.000, 263.000, 0.000, 263.000, 248.000, 0.012, 0.012, 0.002, 0.004, 3, 1, 0, 1, 0,382,253,0,0.0
L_00000025 , 10 , 1 , 3600, 0.018,true, true, 3,273.000, 273.000, 0.000, 275.000, 259.000, 0.011, 0.012, 0.000, 0.002, 3, 1, 1, 0, 0,215,118,38,0.0
L_00000026 , 10 , 1 , 3600, 0.025,true, true, 3,323.000, 323.000, 0.000, 323.000, 314.000, 0.012, 0.016, 0.002, 0.004, 3, 1, 0, 1, 0,987,444,83,0.0
L_00000027 , 10 , 1 , 3600, 0.008,true, true, 1,193.000, 193.000, 0.000, 193.000, 193.000, 0.004, 0.004, 0.001, 0.001, 1, 0, 1, 0, 0,10,0,0,0.0
L_00000028 , 10 , 1 , 3600, 0.022,true, true, 3,252.000, 252.000, 0.000, 252.000, 235.000, 0.014, 0.015, 0.000, 0.002, 3, 1, 0, 1, 0,896,523,0,0.0
L_00000029 , 10 , 1 , 3600, 0.018,true, true, 3,265.000, 265.000, 0.000, 266.000, 250.000, 0.010, 0.010, 0.004, 0.001, 3, 1, 1, 0, 0,225,121,0,0.0
L_00000030 , 10 , 1 , 3600, 0.020,true, true, 3,311.000, 311.000, 0.000, 311.000, 301.000, 0.013, 0.013, 0.000, 0.003, 3, 1, 0, 1, 0,330,210,28,0.0
L_00000031 , 10 , 1 , 3600, 0.019,true, true, 3,309.000, 309.000, 0.000, 310.000, 298.000, 0.012, 0.013, 0.004, 0.001, 3, 1, 1, 0, 0,275,150,0,0.0
L_00000032 , 10 , 1 , 3600, 0.028,true, true, 3,373.000, 373.000, 0.000, 373.000, 369.000, 0.017, 0.018, 0.000, 0.003, 3, 1, 0, 1, 0,229,143,16,0.0
L_00000033 , 10 , 1 , 3600, 0.018,true, true, 3,240.000, 240.000, 0.000, 240.000, 222.000, 0.013, 0.013, 0.003, 0.001, 3, 1, 0, 1, 0,198,114,0,0.0
L_00000034 , 10 , 1 , 3600, 0.004,true, true, 1,182.000, 182.000, 0.000, 182.000, 182.000, 0.002, 0.002, 0.000, 0.001, 1, 0, 1, 0, 0,10,0,0,0.0
L_00000035 , 10 , 1 , 3600, 0.015,true, true, 3,320.000, 320.000, 0.000, 325.000, 310.000, 0.009, 0.009, 0.000, 0.002, 3, 1, 1, 0, 0,375,264,4,0.0
L_00000036 , 10 , 1 , 3600, 0.016,true, true, 3,265.000, 265.000, 0.000, 265.000, 250.000, 0.011, 0.011, 0.001, 0.001, 3, 1, 0, 1, 0,180,99,0,0.0
L_00000037 , 10 , 1 , 3600, 0.016,true, true, 3,269.000, 269.000, 0.000, 269.000, 254.000, 0.009, 0.010, 0.000, 0.002, 3, 1, 0, 1, 0,146,80,0,0.0
L_00000038 , 10 , 1 , 3600, 0.015,true, true, 3,229.000, 229.000, 0.000, 229.000, 208.000, 0.009, 0.009, 0.000, 0.002, 3, 1, 0, 1, 0,479,318,0,0.0
L_00000039 , 10 , 1 , 3600, 0.018,true, true, 3,301.000, 301.000, 0.000, 308.000, 290.000, 0.011, 0.012, 0.001, 0.002, 3, 1, 1, 0, 0,176,99,13,0.0
L_00000040 , 10 , 1 , 3600, 0.019,true, true, 3,253.000, 253.000, 0.000, 253.000, 237.000, 0.011, 0.011, 0.002, 0.002, 3, 1, 0, 1, 0,174,96,0,0.0
L_00000041 , 10 , 1 , 3600, 0.019,true, true, 3,287.000, 287.000, 0.000, 292.000, 274.000, 0.010, 0.011, 0.002, 0.001, 3, 1, 1, 0, 0,293,173,17,0.0
L_00000042 , 10 , 1 , 3600, 0.017,true, true, 3,311.000, 311.000, 0.000, 311.000, 301.000, 0.010, 0.011, 0.002, 0.002, 3, 1, 0, 1, 0,177,94,0,0.0
