algoName, instName, numOfJobs, feasible, timeLimit, timeCost,ub, lb, status, numOfVariables, numOfConstraints, nThreads
Branch And Price,L_00000000,10,true,3600, 0.055, 229.0,207.77777777777774,2, 22, 13, 0
Branch And Price,L_00000001,10,true,3600, 0.006, 340.0,332.0,2, 24, 13, 0
Branch And Price,L_00000002,10,true,3600, 0.005, 254.0,237.40000000000003,2, 24, 13, 0
Branch And Price,L_00000003,10,true,3600, 0.009, 338.0,329.8,2, 25, 13, 0
Branch And Price,L_00000004,10,true,3600, 0.002, 189.0,189.0,2, 20, 13, 0
Branch And Price,L_00000005,10,true,3600, 0.007, 307.0,295.7,2, 24, 13, 0
Branch And Price,L_00000006,10,true,3600, 0.008, 351.0,344.1,2, 23, 13, 0
Branch And Price,L_00000007,10,true,3600, 0.005, 268.0,252.8,2, 24, 13, 0
Branch And Price,L_00000008,10,true,3600, 0.003, 247.0,229.7,2, 23, 13, 0
Branch And Price,L_00000009,10,true,3600, 0.006, 357.0,350.7,2, 25, 13, 0
Branch And Price,L_00000010,10,true,3600, 0.006, 251.0,234.1,2, 23, 13, 0
Branch And Price,L_00000011,10,true,3600, 0.008, 300.0,288.0,2, 24, 13, 0
Branch And Price,L_00000012,10,true,3600, 0.008, 238.0,218.7939698492462,2, 23, 13, 0
Branch And Price,L_00000013,10,true,3600, 0.003, 236.0,214.51776649746196,2, 24, 13, 0
Branch And Price,L_00000014,10,true,3600, 0.007, 240.0,222.0,2, 23, 13, 0
Branch And Price,L_00000015,10,true,3600, 0.005, 226.0,203.3502538071066,2, 22, 13, 0
Branch And Price,L_00000016,10,true,3600, 0.007, 279.0,264.9,2, 23, 13, 0
Branch And Price,L_00000017,10,true,3600, 0.006, 367.0,361.70000000000005,2, 26, 13, 0
Branch And Price,L_00000018,10,true,3600, 0.008, 285.0,271.5,2, 25, 13, 0
Branch And Price,L_00000019,10,true,3600, 0.004, 264.0,248.39999999999998,2, 23, 13, 0
Branch And Price,L_00000020,10,true,3600, 0.001, 196.0,196.0,2, 20, 13, 0
Branch And Price,L_00000021,10,true,3600, 0.004, 322.0,312.2,2, 23, 13, 0
Branch And Price,L_00000022,10,true,3600, 0.003, 257.0,240.70000000000002,2, 23, 13, 0
Branch And Price,L_00000023,10,true,3600, 0.009, 336.0,327.6,2, 26, 13, 0
Branch And Price,L_00000024,10,true,3600, 0.003, 263.0,247.3,2, 22, 13, 0
Branch And Price,L_00000025,10,true,3600, 0.010, 273.0,258.3,2, 24, 13, 0
Branch And Price,L_00000026,10,true,3600, 0.004, 323.0,313.3,2, 23, 13, 0
Branch And Price,L_00000027,10,true,3600, 0.002, 193.0,193.0,2, 20, 13, 0
Branch And Price,L_00000028,10,true,3600, 0.002, 252.0,234.27135678391954,2, 23, 13, 0
Branch And Price,L_00000029,10,true,3600, 0.009, 265.0,249.50000000000006,2, 24, 13, 0
Branch And Price,L_00000030,10,true,3600, 0.005, 311.0,300.1,2, 24, 13, 0
Branch And Price,L_00000031,10,true,3600, 0.005, 309.0,297.9,2, 23, 13, 0
Branch And Price,L_00000032,10,true,3600, 0.007, 373.0,368.3,2, 26, 13, 0
Branch And Price,L_00000033,10,true,3600, 0.003, 240.0,222.00000000000003,2, 24, 13, 0
Branch And Price,L_00000034,10,true,3600, 0.022, 182.0,182.0,2, 20, 13, 0
Branch And Price,L_00000035,10,true,3600, 0.004, 320.0,310.0,2, 24, 13, 0
Branch And Price,L_00000036,10,true,3600, 0.005, 265.0,249.5,2, 22, 13, 0
Branch And Price,L_00000037,10,true,3600, 0.003, 269.0,253.9,2, 23, 13, 0
Branch And Price,L_00000038,10,true,3600, 0.002, 229.0,207.77777777777777,2, 22, 13, 0
Branch And Price,L_00000039,10,true,3600, 0.002, 301.0,289.1,2, 23, 13, 0
Branch And Price,L_00000040,10,true,3600, 0.005, 253.0,236.3,2, 22, 13, 0
Branch And Price,L_00000041,10,true,3600, 0.006, 287.0,273.7,2, 25, 13, 0
Branch And Price,L_00000042,10,true,3600, 0.004, 311.0,300.1,2, 24, 13, 0
Branch And Price,L_00000043,10,true,3600, 0.010, 236.0,217.60000000000002,2, 24, 13, 0
Branch And Price,L_00000044,10,true,3600, 0.003, 302.0,290.2,2, 23, 13, 0
Branch And Price,L_00000045,10,true,3600, 0.002, 262.0,246.2,2, 24, 13, 0
Branch And Price,L_00000046,10,true,3600, 0.000, 171.0,171.0,2, 20, 13, 0
Branch And Price,L_00000047,10,true,3600, 0.002, 189.0,189.0,2, 20, 13, 0
Branch And Price,L_00000048,10,true,3600, 0.004, 310.0,299.0,2, 25, 13, 0
Branch And Price,L_00000049,10,true,3600, 0.004, 274.0,259.4,2, 25, 13, 0
